Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Cumulative Revenue
5330-1,2013-02-11,Patrick Jones,"221 Barkly St, St Kilda",Melbourne,VIC,Consumer,Yvette Biti,Medium,Steady Pocket Accent Highlighters,Office Supplies,Wrap Bag,Regular Air,2013-02-12,0.93,1.6,0.67,46.0,40.0,1.0,4.0,36.0,1.29,37.29,37.29
5753-1,2013-02-11,Thomas Boland,"3/219 Canley Vale Road, Canley Heights",Sydney,NSW,Corporate,Mihael Khan,High,Artisan Durable Binders,Office Supplies,Small Pack,Regular Air,2013-02-13,1.84,2.88,1.04,10.0,66.6,1.0,4.7,63.32,1.49,68.64,105.93
5847-1,2013-02-11,Alex Russell,"99 Lygon Street, East Brunswick",Melbourne,VIC,Corporate,Connor Betts,High,Artisan 478 Labels,Office Supplies,Wrap Bag,Regular Air,2013-02-12,3.14,4.91,1.77,14.0,58.64,8.0,3.41,50.67,0.5,51.57,157.5
5916-1,2013-02-11,Claire Good,"7/370-374 Victoria Ave, Chatswood",Sydney,NSW,Corporate,Stevie Bacata,Critical,Apex Preferred Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-02-12,2.5,5.68,3.18,13.0,64.92,8.0,3.49,63.57,3.6,63.77,221.27
5016-1,2013-02-11,Alex Russell,"99 Lygon Street, East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-02-12,2.39,4.26,1.87,18.0,123.54,6.0,3.71,119.83,1.2,121.03,342.3
5093-1,2013-02-11,Alex Russell,"99 Lygon Street, East Brunswick",Melbourne,VIC,Small Business,Connor Betts,Medium,Steady Major Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-02-12,3.75,7.08,3.33,39.0,193.21,3.0,3.48,195.11,2.35,199.46,541.76
5069-1,2013-02-11,Biman Radorston,"85-113 Dunning Ave, Roseberry",Sydney,NSW,Small Business,Mihael Khan,High,Smiths Paper Clips,Office Supplies,Small Box,Regular Air,2013-02-12,1.53,2.47,0.94,42.0,119.8,5.0,4.89,116.37,1.02,119.69,661.45
5159-1,2013-02-13,Susan Vittorini,"3 Carrington Road , Box Hill",Melbourne,VIC,Small Business,Yvette Biti,High,Colored Envelopes,Office Supplies,Small Box,Express Air,2013-02-15,2.25,3.69,1.44,18.0,56.22,3.0,5.45,52.27,2.5,53.07,714.5200000000001
5277-1,2013-02-14,Muhammed Yedwab,"18 Whistler St, Sydney",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Regular Air,2013-02-15,1.17,2.78,1.61,18.0,16.2,2.0,1.28,14.82,1.2,16.55,731.07
5196-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd, Marrickville",Sydney,NSW,Small Business,Radhya Staples,High,Pizazz Drawing Pencil Set,Office Supplies,Small Box,Regular Air,2013-02-16,1.53,2.78,1.25,1.0,33.82,4.0,1.38,33.86,1.34,32.3,763.37
5231-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd, Marrickville",Sydney,NSW,Corporate,Radhya Staples,Medium,Smiths General Use 3-Ring Binders,Office Supplies,Small Pack,Regular Air,2013-02-16,1.18,1.88,0.7,8.0,58.7,3.0,0.0,59.85,1.49,60.46,823.83
5152-1,2013-02-15,Jasper Cacioppo,"24 Addison Rd, Marrickville",Sydney,NSW,Small Business,Radhya Staples,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Pack,Express Air,2013-02-16,1.6,2.62,1.02,34.0,69.3,0.0,12.88,68.96,0.8,63.95,887.7800000000001
5402-1,2013-02-15,Jasper Cacioppo,"22 Addison Rd, Marrickville",Sydney,NSW,Corporate,Radhya Staples,High,Apex Preferred Stainless Steel Scissors,Technology,Small Box,Regular Air,2013-02-16,2.5,5.68,3.18,36.0,43.32,0.0,1.67,32.85,3.6,33.83,921.6100000000001
